purchase_day;tickets_sold;revenue;avg_basket;avg_lead_time;tx_count
05/05/2026;88;2059.29;38.135;16.87037037037037;54
06/05/2026;77;1757.55;40.873255813953485;15.906976744186046;43
07/05/2026;80;1867.17;43.422558139534885;17.069767441860463;43
08/05/2026;73;1563.07;38.12365853658537;15.24390243902439;41
09/05/2026;90;1997.08;35.036491228070176;14.368421052631579;57
10/05/2026;72;1529.26;31.859583333333333;13.625;48
11/05/2026;99;1986.78;33.113;11.483333333333333;60
12/05/2026;59;1379.71;33.65146341463415;13.951219512195122;41
13/05/2026;77;1672.65;38.01477272727273;11.431818181818182;44
14/05/2026;83;1892.19;37.10176470588235;9.098039215686274;51
15/05/2026;85;1772.3;37.708510638297874;12.46808510638298;47
16/05/2026;98;1941.08;36.624150943396224;11.30188679245283;53
17/05/2026;205;4675.49;38.64041322314049;4.421487603305785;121
18/05/2026;42;701.4;30.495652173913044;18.0;23
19/05/2026;71;1345.59;32.03785714285714;15.452380952380953;42
20/05/2026;47;946.5699999999999;33.80607142857143;17.642857142857142;28
21/05/2026;93;1932.45;36.46132075471698;12.830188679245284;53
22/05/2026;48;814.69;28.092758620689658;21.06896551724138;29
23/05/2026;42;609.17;25.38208333333333;19.75;24
24/05/2026;33;559.67;29.45631578947368;20.473684210526315;19
25/05/2026;63;994.96;28.42742857142857;14.2;35
26/05/2026;48;798.44;28.51571428571429;13.714285714285714;28
27/05/2026;70;1094.82;28.811052631578946;14.368421052631579;38
28/05/2026;71;1220.8700000000001;33.91305555555556;13.972222222222221;36
29/05/2026;137;2135.48;26.042439024390244;7.780487804878049;82
30/05/2026;50;936.8000000000001;28.38787878787879;16.242424242424242;33
31/05/2026;49;891.82;29.727333333333334;15.433333333333334;30
01/06/2026;53;955.12;29.8475;16.84375;32
02/06/2026;46;787.81;24.6190625;16.78125;32
03/06/2026;48;906.95;27.483333333333334;15.242424242424242;33
04/06/2026;60;1171.15;33.46142857142858;9.82857142857143;35
05/06/2026;56;924.6899999999999;34.24777777777778;15.296296296296296;27
06/06/2026;38;664.49;28.890869565217393;15.26086956521739;23
07/06/2026;69;1173.59;31.718648648648646;12.945945945945946;37
08/06/2026;33;530.91;25.28142857142857;13.761904761904763;21
09/06/2026;61;1064.27;34.33129032258064;12.161290322580646;31
10/06/2026;39;615.05;23.65576923076923;11.692307692307692;26
11/06/2026;34;613.85;32.30789473684211;9.105263157894736;19
12/06/2026;85;1540.7;39.50512820512821;8.794871794871796;39
13/06/2026;61;1162.75;33.22142857142857;7.2;35
14/06/2026;171;2949.4;33.13932584269663;2.7752808988764044;89
15/06/2026;28;406.48;25.405;11.625;16
16/06/2026;30;357.38;21.02235294117647;10.411764705882353;17
17/06/2026;32;443.93;24.662777777777777;7.388888888888889;18
18/06/2026;48;716.56;23.88533333333333;3.1666666666666665;30
19/06/2026;11;123.41;17.63;9.0;7
20/06/2026;10;105.99;17.665;8.0;6
21/06/2026;13;125.66;17.951428571428572;6.428571428571429;7
22/06/2026;10;107.44;21.488;6.0;5
23/06/2026;13;239.8;34.25714285714286;4.428571428571429;7
24/06/2026;16;174.29000000000002;17.429000000000002;4.0;10
25/06/2026;33;544.62;28.664210526315788;1.8421052631578947;19
26/06/2026;14;158.08999999999997;19.761249999999997;2.0;8
27/06/2026;89;923.63;16.793272727272726;0.10909090909090909;55
